cb_code;cb_codeext;cb_etiquet;cb_nd1;cb_nd2;cb_r1_code;cb_r2_code;cb_r3_code;cb_r4_code;cb_prop;cb_gest;cb_user;cb_proptyp;cb_statut;cb_etat;cb_dateins;cb_datemes;cb_avct;cb_tech;cb_typephy;cb_typelog;cb_rf_code;cb_capafo;cb_fo_disp;cb_fo_util;cb_modulo;cb_diam;cb_color;cb_lgreel;cb_localis;cb_comment;cb_creadat;cb_majdate;cb_majsrc;cb_abddate;cb_abdsrc
CB716000000045;71153/USZ/TR 60 1513;"CD71-FTTH-USZ;6FO - TR 60 1513";ND716000000026;ND716000000100;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000202;6;;;6;;;59.730;;;29/08/2022 00:00;;;;
CB716000000046;71153/USZ/TR 60 1514;"CD71-FTTH-USZ;144FO - TR 60 1514";ND716000000223;ND716000000005;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000128;144;;;6;;;368.353;;;29/08/2022 00:00;;;;
CB716000000047;71153/USZ/TR 60 1515;"CD71-FTTH-USZ;48FO - TR 60 1515";ND716000000005;ND716000000033;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000133;48;;;6;;;187.671;;;29/08/2022 00:00;;;;
CB716000000048;71153/USZ/TR 60 1516;"CD71-FTTH-USZ;24FO - TR 60 1516";ND716000000033;ND716000000033;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;1.429;;;29/08/2022 00:00;;;;
CB716000000049;71153/USZ/TR 60 1517;"CD71-FTTH-USZ;24FO - TR 60 1517";ND716000000033;ND716000000097;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;76.892;;;29/08/2022 00:00;;;;
CB716000000050;71153/USZ/TR 60 1518;"CD71-FTTH-USZ;24FO - TR 60 1518";ND716000000097;ND716000000098;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;64.500;;;29/08/2022 00:00;;;;
CB716000000051;71153/USZ/TR 60 1519;"CD71-FTTH-USZ;24FO - TR 60 1519";ND716000000098;ND716000000125;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;31.843;;;29/08/2022 00:00;;;;
CB716000000052;71153/USZ/TR 60 1520;"CD71-FTTH-USZ;12FO - TR 60 1520";ND716000000033;ND716000000184;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;67.940;;;29/08/2022 00:00;;;;
CB716000000053;71153/USZ/TR 60 1521;"CD71-FTTH-USZ;12FO - TR 60 1521";ND716000000184;ND716000000185;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;33.641;;;29/08/2022 00:00;;;;
CB716000000054;71153/USZ/TR 60 1522;"CD71-FTTH-USZ;12FO - TR 60 1522";ND716000000185;ND716000000187;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;88.647;;;29/08/2022 00:00;;;;
