pt_code;pt_codeext;pt_etiquet;pt_nd_code;pt_ad_code;pt_gest_do;pt_prop_do;pt_prop;pt_gest;pt_user;pt_proptyp;pt_statut;pt_etat;pt_dateins;pt_datemes;pt_avct;pt_typephy;pt_typelog;pt_rf_code;pt_nature;pt_secu;pt_occp;pt_a_dan;pt_a_dtetu;pt_a_struc;pt_a_haut;pt_a_passa;pt_a_strat;pt_rotatio;pt_detec;pt_comment;pt_creadat;pt_majdate;pt_majsrc;pt_abddate;pt_abdsrc
PT716000000078;0208040/71059;CD71-0208040/71059;ND716000000078;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000079;0208042/71059;CD71-0208042/71059;ND716000000079;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000080;0208043/71059;CD71-0208043/71059;ND716000000080;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000081;0208050/71059;CD71-0208050/71059;ND716000000081;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000082;0208051/71059;CD71-0208051/71059;ND716000000082;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000083;0208041/71059;CD71-0208041/71059;ND716000000083;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000084;0208044/71059;CD71-0208044/71059;ND716000000084;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000085;0208046/71059;CD71-0208046/71059;ND716000000085;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000086;0206939/71059;CD71-0206939/71059;ND716000000086;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000087;0206947/71059;CD71-0206947/71059;ND716000000087;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
