pt_code;pt_codeext;pt_etiquet;pt_nd_code;pt_ad_code;pt_gest_do;pt_prop_do;pt_prop;pt_gest;pt_user;pt_proptyp;pt_statut;pt_etat;pt_dateins;pt_datemes;pt_avct;pt_typephy;pt_typelog;pt_rf_code;pt_nature;pt_secu;pt_occp;pt_a_dan;pt_a_dtetu;pt_a_struc;pt_a_haut;pt_a_passa;pt_a_strat;pt_rotatio;pt_detec;pt_comment;pt_creadat;pt_majdate;pt_majsrc;pt_abddate;pt_abdsrc
PT716000000088;0206948/71059;CD71-0206948/71059;ND716000000088;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000089;0206952/71059;CD71-0206952/71059;ND716000000089;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000090;0208045/71059;CD71-0208045/71059;ND716000000090;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000091;0208048/71059;CD71-0208048/71059;ND716000000091;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000092;0208054/71059;CD71-0208054/71059;ND716000000092;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000093;0208017/71059;CD71-0208017/71059;ND716000000093;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000094;0208025/71059;CD71-0208025/71059;ND716000000094;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000095;0208026/71059;CD71-0208026/71059;ND716000000095;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000096;0206956/71059;CD71-0206956/71059;ND716000000096;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000097;0720455/71059;CD71-0720455/71059;ND716000000097;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000098;0720457/71059;CD71-0720457/71059;ND716000000098;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000099;0719672/71059;CD71-0719672/71059;ND716000000099;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000100;0720438/71059;CD71-0720438/71059;ND716000000100;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000101;0720452/71059;CD71-0720452/71059;ND716000000101;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000102;0719663/71059;CD71-0719663/71059;ND716000000102;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000103;0719665/71059;CD71-0719665/71059;ND716000000103;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000104;0720430/71059;CD71-0720430/71059;ND716000000104;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000105;0720431/71059;CD71-0720431/71059;ND716000000105;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000106;0720460/71059;CD71-0720460/71059;ND716000000106;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000107;0719689/71059;CD71-0719689/71059;ND716000000107;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000108;0206898/71059;CD71-0206898/71059;ND716000000108;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
