bp_code;bp_etiquet;bp_codeext;bp_pt_code;bp_lt_code;bp_sf_code;bp_prop;bp_gest;bp_user;bp_proptyp;bp_statut;bp_etat;bp_occp;bp_datemes;bp_avct;bp_typephy;bp_typelog;bp_rf_code;bp_entrees;bp_ref_kit;bp_ca_nb;bp_nb_pas;bp_linecod;bp_oc_code;bp_racco;bp_comment;bp_creadat;bp_majdate;bp_majsrc;bp_abddate;bp_abdsrc
BP716000000086;"CD71 ; PBO R - PT 601565USZ";71153/USZ/PT 601565;PT716000000002;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000088;"CD71 ; PBO R - PT 601566USZ";71153/USZ/PT 601566;PT716000000093;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B012;PBO;RF000000000018;;;2;;;;;;29/08/2022 00:00;;;;
BP716000000087;"CD71 ; PBO - PT 601567USZ";71153/USZ/PT 601567;PT716000000216;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000093;"CD71 ; PBO - PT 601568USZ";71153/USZ/PT 601568;PT716000000072;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000089;"CD71 ; PBO R - PT 601569USZ";71153/USZ/PT 601569;PT716000000092;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000090;"CD71 ; PBO R - PT 601570USZ";71153/USZ/PT 601570;PT716000000058;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000091;"CD71 ; PBO R - PT 601571USZ";71153/USZ/PT 601571;PT716000000159;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000092;"CD71 ; PBO R - PT 601572USZ";71153/USZ/PT 601572;PT716000000162;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000094;"CD71 ; PBO - PT 601573USZ";71153/USZ/PT 601573;PT716000000150;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000013;"CD71 ; PBO - PT 601574USZ";71153/USZ/PT 601574;PT716000000067;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
