cs_code;cs_nb_pas;cs_bp_code;cs_num;cs_type;cs_face;cs_rf_code;cs_comment;cs_creadat;cs_majdate;cs_majsrc;cs_abddate;cs_abdsrc
CS716000000071;0;BP716000000014;0;;;RF000000000297;71153/USZ/PT 601472;29/08/2022 00:00;;;;
CS716000000074;12;BP716000000015;1;;;RF000000000191;71153/USZ/PT 601473;29/08/2022 00:00;;;;
CS716000000075;0;BP716000000015;0;;;RF000000000297;71153/USZ/PT 601473;29/08/2022 00:00;;;;
CS716000000077;12;BP716000000012;1;;;RF000000000191;71153/USZ/PT 601474;29/08/2022 00:00;;;;
CS716000000078;0;BP716000000012;0;;;RF000000000297;71153/USZ/PT 601474;29/08/2022 00:00;;;;
CS716000000079;12;BP716000000006;1;;;RF000000000191;71153/USZ/PT 601475;29/08/2022 00:00;;;;
CS716000000080;0;BP716000000006;0;;;RF000000000297;71153/USZ/PT 601475;29/08/2022 00:00;;;;
CS716000000083;12;BP716000000007;1;;;RF000000000191;71153/USZ/PT 601476;29/08/2022 00:00;;;;
CS716000000084;0;BP716000000007;0;;;RF000000000297;71153/USZ/PT 601476;29/08/2022 00:00;;;;
CS716000000086;12;BP716000000008;1;;;RF000000000191;71153/USZ/PT 601477;29/08/2022 00:00;;;;
CS716000000087;0;BP716000000008;0;;;RF000000000297;71153/USZ/PT 601477;29/08/2022 00:00;;;;
CS716000000088;12;BP716000000009;1;;;RF000000000191;71153/USZ/PT 601478;29/08/2022 00:00;;;;
CS716000000089;12;BP716000000010;1;;;RF000000000191;71153/USZ/PT 601479;29/08/2022 00:00;;;;
CS716000000090;0;BP716000000010;0;;;RF000000000297;71153/USZ/PT 601479;29/08/2022 00:00;;;;
CS716000000091;12;BP716000000011;1;;;RF000000000191;71153/USZ/PT 601480;29/08/2022 00:00;;;;
CS716000000092;12;BP716000000004;1;;;RF000000000191;71153/USZ/PT 601481;29/08/2022 00:00;;;;
CS716000000093;0;BP716000000004;0;;;RF000000000297;71153/USZ/PT 601481;29/08/2022 00:00;;;;
CS716000000094;12;BP716000000005;1;;;RF000000000191;71153/USZ/PT 601482;29/08/2022 00:00;;;;
CS716000000095;12;BP716000000016;1;;;RF000000000191;71153/USZ/PT 601483;29/08/2022 00:00;;;;
CS716000000096;0;BP716000000016;0;;;RF000000000297;71153/USZ/PT 601483;29/08/2022 00:00;;;;
CS716000000097;12;BP716000000017;1;;;RF000000000191;71153/USZ/PT 601484;29/08/2022 00:00;;;;
CS716000000098;12;BP716000000095;1;;;RF000000000191;71153/USZ/PT 601485;29/08/2022 00:00;;;;
CS716000000099;0;BP716000000095;0;;;RF000000000297;71153/USZ/PT 601485;29/08/2022 00:00;;;;
CS716000000102;12;BP716000000096;1;;;RF000000000191;71153/USZ/PT 601486;29/08/2022 00:00;;;;
CS716000000103;0;BP716000000096;0;;;RF000000000297;71153/USZ/PT 601486;29/08/2022 00:00;;;;
CS716000000105;12;BP716000000097;1;;;RF000000000191;71153/USZ/PT 601487;29/08/2022 00:00;;;;
CS716000000106;0;BP716000000097;0;;;RF000000000297;71153/USZ/PT 601487;29/08/2022 00:00;;;;
CS716000000107;12;BP716000000001;1;;;RF000000000191;71153/USZ/PT 601488;29/08/2022 00:00;;;;
CS716000000108;12;BP716000000002;1;;;RF000000000191;71153/USZ/PT 601489;29/08/2022 00:00;;;;
CS716000000109;0;BP716000000002;0;;;RF000000000297;71153/USZ/PT 601489;29/08/2022 00:00;;;;
CS716000000110;12;BP716000000003;1;;;RF000000000191;71153/USZ/PT 601490;29/08/2022 00:00;;;;
CS716000000111;12;BP716000000020;1;;;RF000000000191;71153/USZ/PT 601491;29/08/2022 00:00;;;;
CS716000000112;12;BP716000000018;1;;;RF000000000191;71153/USZ/PT 601492;29/08/2022 00:00;;;;
CS716000000113;12;BP716000000100;1;;;RF000000000191;71153/USZ/PT 601493;29/08/2022 00:00;;;;
CS716000000114;12;BP716000000100;2;;;RF000000000191;71153/USZ/PT 601493;29/08/2022 00:00;;;;
CS716000000115;12;BP716000000100;3;;;RF000000000191;71153/USZ/PT 601493;29/08/2022 00:00;;;;
CS716000000116;12;BP716000000100;4;;;RF000000000191;71153/USZ/PT 601493;29/08/2022 00:00;;;;
CS716000000117;12;BP716000000100;5;;;RF000000000191;71153/USZ/PT 601493;29/08/2022 00:00;;;;
CS716000000118;12;BP716000000100;6;;;RF000000000191;71153/USZ/PT 601493;29/08/2022 00:00;;;;
CS716000000119;12;BP716000000100;7;;;RF000000000191;71153/USZ/PT 601493;29/08/2022 00:00;;;;
CS716000000120;12;BP716000000100;8;;;RF000000000191;71153/USZ/PT 601493;29/08/2022 00:00;;;;
CS716000000121;12;BP716000000100;9;;;RF000000000191;71153/USZ/PT 601493;29/08/2022 00:00;;;;
CS716000000122;12;BP716000000100;10;;;RF000000000191;71153/USZ/PT 601493;29/08/2022 00:00;;;;
CS716000000123;12;BP716000000100;11;;;RF000000000191;71153/USZ/PT 601493;29/08/2022 00:00;;;;
CS716000000124;12;BP716000000100;12;;;RF000000000191;71153/USZ/PT 601493;29/08/2022 00:00;;;;
CS716000000125;12;BP716000000100;13;;;RF000000000191;71153/USZ/PT 601493;29/08/2022 00:00;;;;
CS716000000126;12;BP716000000100;14;;;RF000000000191;71153/USZ/PT 601493;29/08/2022 00:00;;;;
CS716000000127;12;BP716000000100;15;;;RF000000000191;71153/USZ/PT 601493;29/08/2022 00:00;;;;
CS716000000128;12;BP716000000100;16;;;RF000000000191;71153/USZ/PT 601493;29/08/2022 00:00;;;;
CS716000000129;12;BP716000000100;17;;;RF000000000191;71153/USZ/PT 601493;29/08/2022 00:00;;;;
CS716000000130;12;BP716000000100;18;;;RF000000000191;71153/USZ/PT 601493;29/08/2022 00:00;;;;
CS716000000131;12;BP716000000100;19;;;RF000000000191;71153/USZ/PT 601493;29/08/2022 00:00;;;;
CS716000000132;12;BP716000000100;20;;;RF000000000191;71153/USZ/PT 601493;29/08/2022 00:00;;;;
CS716000000133;12;BP716000000076;1;;;RF000000000191;71153/USZ/PT 601494;29/08/2022 00:00;;;;
CS716000000134;0;BP716000000076;0;;;RF000000000297;71153/USZ/PT 601494;29/08/2022 00:00;;;;
CS716000000139;12;BP716000000077;1;;;RF000000000191;71153/USZ/PT 601495;29/08/2022 00:00;;;;
CS716000000140;0;BP716000000077;0;;;RF000000000297;71153/USZ/PT 601495;29/08/2022 00:00;;;;
CS716000000144;12;BP716000000080;1;;;RF000000000191;71153/USZ/PT 601496;29/08/2022 00:00;;;;
CS716000000145;0;BP716000000080;0;;;RF000000000297;71153/USZ/PT 601496;29/08/2022 00:00;;;;
CS716000000148;12;BP716000000082;1;;;RF000000000191;71153/USZ/PT 601497;29/08/2022 00:00;;;;
CS716000000149;0;BP716000000082;0;;;RF000000000297;71153/USZ/PT 601497;29/08/2022 00:00;;;;
CS716000000151;12;BP716000000083;1;;;RF000000000191;71153/USZ/PT 601498;29/08/2022 00:00;;;;
CS716000000152;0;BP716000000083;0;;;RF000000000297;71153/USZ/PT 601498;29/08/2022 00:00;;;;
CS716000000153;12;BP716000000085;1;;;RF000000000191;71153/USZ/PT 601499;29/08/2022 00:00;;;;
